esquema,tabla,columna,origen,campo_origen,regla_aplicada_o_transformacion,archivo_origen_vigiflow,hoja_origen_vigiflow,columna_excel_vigiflow
DHI_ESAVI,TR_NOTIFICACION,FECHA_ATENCION,vigiflow,Fecha de recepción inicial,Mismo valor de col J,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),J
DHI_ESAVI,TR_NOTIFICACION,CT_TIPO_EMISOR_ID,vigiflow,Tipo de emisor,trim() + buscarSubcategoriaPorSimilitud('TIPO_EMISOR') → FK,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),F
DHI_ESAVI,TR_NOTIFICACION,NOTIFICADOR_ID,vigiflow,Número de identificación del especialista,trim(); crea/actualiza TR_NOTIFICADOR y asigna FK por identificación,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),W
DHI_ESAVI,TR_NOTIFICACION,ESTABLECIMIENTO_ID,vigiflow,Organización (Emisor),"Columna detectada dinámicamente por encabezado; normalización (sin tildes, mayúsculas) y matching por palabras contra TR_ESTABLECIMIENTO.UNI_NOMBRE; se asigna FK solo si similitud ≥ 0.9",VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),D (dinámica)
DHI_ESAVI,TR_NOTIFICADOR,IDENTIFICACION,vigiflow,Número de identificación del especialista,trim(); clave de upsert,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),W
DHI_ESAVI,TR_NOTIFICADOR,NOMBRES,vigiflow,Reportado por,"Tomado de ORIGEN_ORIGINAL.reportadoPor (AEFI col AB, trim)",VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AB
DHI_ESAVI,TR_NOTIFICADOR,CT_PROFESION_ID,vigiflow,Profesión del notificador,"obtenerPrimerComentario() (texto hasta el primer salto de línea) + encontrarCoincidencia() contra lista fija (AUXILIAR, ENFERMERA, ESTUDIANTE, FARMACEUTICO, INTERNO, MEDICO, ...) → FK catálogo",VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),AQ
DHI_ESAVI,TR_DATOS_ESAVI,NOMBRE_ESAVI,dhis2,'DNVE ESAVI TRK - Diagnóstico inicial 1..3' y 'Diagnostico final 1..3',separarCodigoYDescripcion(): regex ^([A-Za-z0-9]+)\s*(.*)$ → parte descripción; una fila por diagnóstico con código y descripción presentes,,,
DHI_ESAVI,TR_DATOS_ESAVI,CODIGO_CIE10,dhis2,'DNVE ESAVI TRK - Diagnóstico inicial 1..3' y 'Diagnostico final 1..3',separarCodigoYDescripcion() → parte código (CIE-10),,,
DHI_ESAVI,TR_DATOS_ESAVI,NOMBRE_ESAVI_REPORTADO,dhis2,'DNVE ESAVI TRK - Sintomatología 1..5' y 'Sintomatología Otro',Directo (nombre de la opción del option set); una fila por sintomatología no vacía,,,
DHI_ESAVI,TR_DATOS_ESAVI,FECHA_ESAVI,dhis2,'DNVE ESAVI TRK - Fecha de inicio de síntomas del ESAVI' + 'Hora de Inicio de síntomas del ESAVI',Diagnósticos: combina fecha (parte antes del espacio) + 'T' + hora + ':00Z' → Date UTC; Sintomatologías: solo la fecha con formatoFecha(),,,
DHI_ESAVI,TR_DATOS_ESAVI,DESCRIPCION,dhis2,(constante),Etiqueta generada: 'Diagnóstico inicial DHIS2 i' / 'Diagnóstico final DHIS2 i' / 'Sintomatología DHIS2 i' / 'Sintomatología Otro DHIS2',,,
DHI_ESAVI,TR_DATOS_ESAVI,COGIDO_CASO,dhis2,'DNVE ESAVI TRK - Código del caso',Directo (mismo código de la notificación),,,
DHI_ESAVI,TR_DATOS_ESAVI,NOMBRE_ESAVI_REPORTADO,vigiflow,Reacción / evento (MedDRA) LLT,splitLineas() + toUpperCase() + eliminarSaltoLinea(); se toma el LLT MedDRA (col D) porque viene en español — la col C trae el texto libre del notificador en inglés,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),D
DHI_ESAVI,TR_DATOS_ESAVI,CODIGO_ESAVI_MEDDRA_LLT,vigiflow,Reacción / evento (MedDRA) LLT,buscarPorSimilitud() contra MEDDRA.MED_LLT por nombre en mayúsculas con similitud ≥ 90% → LLT.code. Columna renombrada desde CODIGO_LLT,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),D
DHI_ESAVI,TR_DATOS_ESAVI,FECHA_ESAVI,vigiflow,Fecha de comienzo / Horario,splitLineas() + formatoFecha() por evento,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),I
DHI_ESAVI,TR_DATOS_ESAVI,FECHA_FINALIZACION,vigiflow,Fecha de finalización / Horario,splitLineas() + formatoFecha() por evento,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),J
DHI_ESAVI,TR_DATOS_ESAVI,DURACION_EVENTO,vigiflow,Duración,splitLineas(); directo por evento,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),K
DHI_ESAVI,TR_DATOS_ESAVI,COGIDO_CASO,vigiflow,Número de identificación único mundial,Código de origen de la notificación asociada,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),A
DHI_ESAVI,TR_DATO_VACUNA,NUMERO_DOSIS_VACUNA,dhis2,'DNVE ESAVI TRK - Dosis de la vacuna 1..5',"transformarDosis(): mapa texto→número (DOSIS ÚNICA=0, PRIMERA=1, SEGUNDA=2, TERCERA=3, CUARTA=4, QUINTA=5, PRIMER REFUERZO=6, SEGUNDO REFUERZO=7, REFUERZO ANUAL=8; no reconocido→null)",,,
DHI_ESAVI,TR_DATO_VACUNA,NUMERO_LOTE,dhis2,'DNVE ESAVI TRK - Lote de la vacuna 1..5',Directo,,,
DHI_ESAVI,TR_DATO_VACUNA,FECHA_VENCIMIENTO_VACUNA,dhis2,'DNVE ESAVI TRK - Fecha de caducidad de la vacuna 1..5',formatoFecha(),,,
DHI_ESAVI,TR_DATO_VACUNA,VIA_ADMINISTRACION,dhis2,'DNVE ESAVI TRK - Vía de aplicación vacuna 1..5',Directo (nombre de opción),,,
DHI_ESAVI,TR_DATO_VACUNA,FECHA_VENCIMIENTO_DILUYENTE,dhis2,'DNVE ESAVI TRK - Fecha de expiración del diluyente vacuna 1..5',formatoFecha(),,,
DHI_ESAVI,TR_DATO_VACUNA,NOMBRE_DILUYENTE_VACUNA,dhis2,'DNVE ESAVI TRK - Nombre del diluyente usado vacuna 1..5',Directo,,,
DHI_ESAVI,TR_DATO_VACUNA,CT_ROL_VACUNA_ID,dhis2,'DNVE ESAVI TRK - Es sospechosa vacuna 1..5',Búsqueda en catálogo por descripción → FK; el registro se crea solo si al menos un campo de la vacuna i tiene valor,,,
DHI_ESAVI,TR_DATO_VACUNA,NUMERO_DOSIS_VACUNA,vigiflow,Número de dosis,formatoEnteroSinSeparadores(): entero sin puntos ni comas; nulo si no hay dígitos,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),O
DHI_ESAVI,TR_DATO_VACUNA,CODIGO_ATC,vigiflow,Código(s) ATC,extraerCodigoAtcVacuna(); solo si el ATC corresponde a vacuna (J07) se actualiza/crea el registro,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),G
DHI_ESAVI,TR_DATO_VACUNA,CT_ROL_VACUNA_ID,vigiflow,Rol del medicamento,Búsqueda en catálogo por descripción → FK,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),C
DHI_ESAVI,TR_DATO_VACUNA,DOSIS_ADMINISTRADA,vigiflow,Dosis (número y unidad),Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),S
DHI_ESAVI,TR_DATO_VACUNA,DURACION_TRATAMIENTO,vigiflow,Duración,Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),V
DHI_ESAVI,TR_DATO_VACUNA,FORMA_FARMACEUTICA,vigiflow,Forma farmacéutica,Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),Y
DHI_ESAVI,TR_DATO_VACUNA,FORMA_FARMACEUTICA_EDQM,vigiflow,Forma farmacéutica (EDQM),Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),Z
DHI_ESAVI,TR_DATO_VACUNA,VIA_ADMINISTRACION,vigiflow,Vía de administración,Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),AA
DHI_ESAVI,TR_DATO_VACUNA,VIA_ADMINISTRACION_EDQM,vigiflow,Vía de administración (EDQM),Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),AB
DHI_ESAVI,TR_DATO_VACUNA,PAIS_AUTORIZACION_ISO3CODE,vigiflow,País de autorización,"toUpperCase() + getAlpha3Code() (i18n-iso-countries, locale 'es') → código ISO 3166-1 alfa-3; por defecto 'ECU' si vacío",VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),J
DHI_ESAVI,TR_DATO_VACUNA,NUMERO_LOTE,vigiflow,Número de lote,transformarLoteVacuna(),VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),AE
DHI_ESAVI,TR_DATO_VACUNACION,NOMBRE_VACUNATORIO,dhis2,'DNVE ESAVI TRK - Establecimiento de salud donde recibió la vacuna 1..5',Directo; registro creado solo si algún campo de la vacunación i tiene valor,,,
DHI_ESAVI,TR_DATO_VACUNACION,FECHARECONSTITUCIONVACUNA,dhis2,'DNVE ESAVI TRK - Fecha de la dilución vacuna 1..5',formatoFecha(),,,
DHI_ESAVI,TR_DATO_VACUNACION,FECHA_VACUNACION,dhis2,'DNVE ESAVI TRK - Fecha de vacunación vacuna 1..5',formatoFecha(),,,
DHI_ESAVI,TR_DATO_VACUNACION,NOMBRE_VACUNATORIO,vigiflow,Nombre de la unidad de salud,Directo,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AF
DHI_ESAVI,TR_DATO_VACUNACION,FECHA_VACUNACION,vigiflow,Fecha de vacunación,formatoFecha(),VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),N
DHI_ESAVI,TR_DATO_VACUNACION,INICIO_ADMINISTRACION,vigiflow,Comienzo de la administración,formatoFecha(); upsert por notificación,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),W
DHI_ESAVI,TR_DATO_VACUNACION,FIN_ADMINISTRACION,vigiflow,Fin de la administración,formatoFecha(); upsert por notificación,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),X
DHI_ESAVI,TR_MEDICAMENTO,ROL_MEDICAMENTO,vigiflow,Rol del medicamento,Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),C
DHI_ESAVI,TR_MEDICAMENTO,NOMBRE_MEDICAMENTO,vigiflow,Nombre del medicamento tal como fue reportado por el notificador,Directo; deduplicación por NOTIFICACION_ID + NOMBRE_MEDICAMENTO + ATC,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),D
DHI_ESAVI,TR_MEDICAMENTO,NOMBRE_MED_PATENTE_WHODRUG,vigiflow,Nombre del medicamento (patente-WHODrug),limpiarCampoWHODrug(): reemplaza comas y saltos de línea por punto y coma,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),E
DHI_ESAVI,TR_MEDICAMENTO,CODIGO_ATC,vigiflow,Código(s) ATC,Directo,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Medicamentos (hoja 2),G
DHI_ESAVI,TR_GRAVEDAD_ESAVI,TIPO_GRAVEDAD,dhis2,(constante),Valor fijo '1' (GRAVE): el programa DHIS2 importado es 'ESAVI-Graves',,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,RIESGO_VIDA,dhis2,'DNVE ESAVI TRK - Criterio de notificación - amenaza a la vida',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,DISCAPACIDAD,dhis2,'DNVE ESAVI TRK - Criterio de notificación - discapacidad',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,HOSPITALIZACION,dhis2,'DNVE ESAVI TRK - Criterio de notificación - hospitalización',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,ANOMALIA_CONGENITA,dhis2,'DNVE ESAVI TRK - Criterio de notificación - anomalía congénita',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,ABORTO,dhis2,'DNVE ESAVI TRK - Criterio de notificación - aborto',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,MUERTE_FETAL,dhis2,'DNVE ESAVI TRK - Criterio de notificación - muerte fetal',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,MUERTE,dhis2,'DNVE ESAVI TRK - Criterio de notificación - muerte',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,PARTE_EVENTOS_PREOCUPACION,dhis2,'DNVE ESAVI TRK - Criterio de investigación - parte de eventos preocupación',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,SON_EVENTOS_NUEVOS,dhis2,'DNVE ESAVI TRK - Criterio de investigación - nuevos eventos',"transformarTipoSoloSiDhis2(): '1' si el check está marcado ('1'), sino '0'",,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,DESCRI_EVENTOS_NUEVOS,dhis2,'DNVE ESAVI TRK - Evento nuevo - notificación',Directo; solo si SON_EVENTOS_NUEVOS es afirmativo,,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,CONDICION_EGRESO,dhis2,'DNVE ESAVI TRK - Condición de egreso',Directo (nombre de opción),,,
DHI_ESAVI,TR_GRAVEDAD_ESAVI,TIPO_GRAVEDAD,vigiflow,Grave,"'1' (GRAVE) si el texto en mayúsculas contiene 'S' (Sí); sino '0' (NO GRAVE). CRITERIO DE SELECCIÓN: solo se persisten los casos con TIPO_GRAVEDAD = 0; los casos graves se descartan por completo de la importación",VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),X
DHI_ESAVI,TR_GRAVEDAD_ESAVI,MUERTE,vigiflow,Criterio (s) de Gravedad,marcarCriterioGravedad(): '1' si el criterio contiene 'muerte' (sin tildes/minúsculas); '0' si no está presente o la celda está vacía,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),M
DHI_ESAVI,TR_GRAVEDAD_ESAVI,RIESGO_VIDA,vigiflow,Criterio (s) de Gravedad,marcarCriterioGravedad(): '1' si el criterio contiene 'amenaza' (sin tildes/minúsculas); '0' si no está presente o la celda está vacía,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),M
DHI_ESAVI,TR_GRAVEDAD_ESAVI,DISCAPACIDAD,vigiflow,Criterio (s) de Gravedad,marcarCriterioGravedad(): '1' si el criterio contiene 'discapacidad' (sin tildes/minúsculas); '0' si no está presente o la celda está vacía,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),M
DHI_ESAVI,TR_GRAVEDAD_ESAVI,HOSPITALIZACION,vigiflow,Criterio (s) de Gravedad,marcarCriterioGravedad(): '1' si el criterio contiene 'hospitalizacion' (sin tildes/minúsculas); '0' si no está presente o la celda está vacía,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),M
DHI_ESAVI,TR_GRAVEDAD_ESAVI,ANOMALIA_CONGENITA,vigiflow,Criterio (s) de Gravedad,marcarCriterioGravedad(): '1' si el criterio contiene 'anomalia' (sin tildes/minúsculas); '0' si no está presente o la celda está vacía,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reacciones (hoja 3),M
DHI_ESAVI,TR_DESENLACE_ESAVI,AUTOPSIA,dhis2,'DNVE ESAVI TRK - Se realizó autopsia',"obtenerValorNumerico(): 'si'→1, 'no'→0, 'no sabe'/desconocido→2",,,
DHI_ESAVI,TR_DESENLACE_ESAVI,FECHAMUERTE,dhis2,'DNVE ESAVI TRK - Fecha fallecimiento',formatoFecha(),,,
DHI_ESAVI,TR_DESENLACE_ESAVI,FECHANOTIFICAMUERTEFETAL,dhis2,(derivado),Se asigna la FECHA_NOTIFICACION solo si el criterio muerte fetal está marcado,,,
DHI_ESAVI,TR_DESENLACE_ESAVI,FECHAINICIOINVESTIGACION,dhis2,'DNVE ESAVI TRK - Fecha de investigación',formatoFecha(),,,
DHI_ESAVI,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASO,dhis2,'DNVE ESAVI TRK - Clasificación final del caso',Directo (nombre de opción),,,
DHI_ESAVI,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASOA,dhis2,'DNVE ESAVI TRK - Clasificación final del caso A',Directo,,,
DHI_ESAVI,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASOB,dhis2,'DNVE ESAVI TRK - Clasificación final del caso B',Directo,,,
DHI_ESAVI,TR_DESENLACE_ESAVI,AUTOPSIA,vigiflow,Autopsia,"Sin tildes + includes: 'si'→1, 'no'→0, otro→2",VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AA
DHI_ESAVI,TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_1,dhis2,'DNVE ESAVI TRK - Diagnostico final 1',separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes,,,
DHI_ESAVI,TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_2,dhis2,'DNVE ESAVI TRK - Diagnostico final 2',separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes,,,
DHI_ESAVI,TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_3,dhis2,'DNVE ESAVI TRK - Diagnostico final 3',separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes,,,
DHI_ESAVI,TR_CAUSALIDAD_ESAVI,CLASIFICACION_CAUSA_ESAVI,dhis2,'DNVE ESAVI TRK - Caso analizado por comité ESAVI?',Directo,,,
