variable_origen_dhis2,tipo_dato_origen,transformacion,tabla_destino,campo_destino
"DNVE ESAVI TRK - Vía de aplicación vacuna 1..5",Option set (texto),Directo (nombre de la opción),TR_DATO_VACUNA,VIA_ADMINISTRACION
"DNVE ESAVI TRK - Fecha de expiración del diluyente vacuna 1..5",Fecha,formatoFecha(),TR_DATO_VACUNA,FECHA_VENCIMIENTO_DILUYENTE
"DNVE ESAVI TRK - Nombre del diluyente usado vacuna 1..5",Texto,Directo,TR_DATO_VACUNA,NOMBRE_DILUYENTE_VACUNA
"DNVE ESAVI TRK - Es sospechosa vacuna 1..5",Option set (texto),"Directo; búsqueda en catálogo por descripción → FK. El registro de la vacuna i solo se crea si al menos uno de sus campos tiene valor",TR_DATO_VACUNA,CT_ROL_VACUNA_ID
"DNVE ESAVI TRK - Establecimiento de salud donde recibió la vacuna 1..5",Texto,"Directo; el registro de vacunación i solo se crea si al menos uno de sus campos tiene valor",TR_DATO_VACUNACION,NOMBRE_VACUNATORIO
"DNVE ESAVI TRK - Fecha de la dilución vacuna 1..5",Fecha,formatoFecha(),TR_DATO_VACUNACION,FECHARECONSTITUCIONVACUNA
"DNVE ESAVI TRK - Fecha de vacunación vacuna 1..5",Fecha,formatoFecha(),TR_DATO_VACUNACION,FECHA_VACUNACION
"DNVE ESAVI TRK - Número de días vacuna 1..5",Entero (calculado por DHIS2),"formatoInteger() si viene informado, sino null. DHIS2 ya entrega el valor calculado, no se recalcula en la API",TR_DATO_VACUNACION,DIAS_TRANSCURRIDOS_SINTOMAS
"(constante)",-,Valor fijo '1' (GRAVE): el programa DHIS2 importado es 'ESAVI-Graves',TR_GRAVEDAD_ESAVI,TIPO_GRAVEDAD
"DNVE ESAVI TRK - Criterio de notificación - amenaza a la vida",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,RIESGO_VIDA
"DNVE ESAVI TRK - Criterio de notificación - discapacidad",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,DISCAPACIDAD
"DNVE ESAVI TRK - Criterio de notificación - hospitalización",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,HOSPITALIZACION
"DNVE ESAVI TRK - Criterio de notificación - anomalía congénita",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,ANOMALIA_CONGENITA
"DNVE ESAVI TRK - Criterio de notificación - aborto",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,ABORTO
"DNVE ESAVI TRK - Criterio de notificación - muerte fetal",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,MUERTE_FETAL
"DNVE ESAVI TRK - Criterio de notificación - muerte",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,MUERTE
"DNVE ESAVI TRK - Criterio de investigación - parte de eventos preocupación",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,PARTE_EVENTOS_PREOCUPACION
"DNVE ESAVI TRK - Criterio de investigación - nuevos eventos",Booleano (checkbox),"transformarTipoSoloSiDhis2(): '1' si el valor es '1', sino '0'",TR_GRAVEDAD_ESAVI,SON_EVENTOS_NUEVOS
"DNVE ESAVI TRK - Evento nuevo - notificación",Texto,"Directo; se asigna solo si SON_EVENTOS_NUEVOS resultó afirmativo",TR_GRAVEDAD_ESAVI,DESCRI_EVENTOS_NUEVOS
"DNVE ESAVI TRK - Condición de egreso",Option set (texto),Directo (nombre de la opción),TR_GRAVEDAD_ESAVI,CONDICION_EGRESO
"DNVE ESAVI TRK - Se realizó autopsia",Option set (Si/No/No sabe),"obtenerValorNumerico(): 'si'→1, 'no'→0, 'no sabe'/desconocido→2",TR_DESENLACE_ESAVI,AUTOPSIA
"DNVE ESAVI TRK - Fecha fallecimiento",Fecha,formatoFecha(),TR_DESENLACE_ESAVI,FECHAMUERTE
"(derivado)",Fecha,"Se asigna el mismo valor de FECHA_NOTIFICACION, solo si el criterio 'muerte fetal' de TR_GRAVEDAD_ESAVI está marcado",TR_DESENLACE_ESAVI,FECHANOTIFICAMUERTEFETAL
"DNVE ESAVI TRK - Fecha de investigación",Fecha,formatoFecha(),TR_DESENLACE_ESAVI,FECHAINICIOINVESTIGACION
"DNVE ESAVI TRK - Clasificación final del caso",Option set (texto),Directo,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASO
"DNVE ESAVI TRK - Clasificación final del caso A",Option set (texto),Directo,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASOA
"DNVE ESAVI TRK - Clasificación final del caso B",Option set (texto),Directo,TR_DESENLACE_ESAVI,CLASIFICACIONFINALCASOB
"DNVE ESAVI TRK - Diagnostico final 1",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes",TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_1
"DNVE ESAVI TRK - Diagnostico final 2",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes",TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_2
"DNVE ESAVI TRK - Diagnostico final 3",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion() → código; se asigna solo si código y descripción están presentes",TR_CAUSALIDAD_ESAVI,CODIGO_CIE10_DXFINAL_3
"DNVE ESAVI TRK - Caso analizado por comité ESAVI?",Booleano (texto '1'/'0'),Directo,TR_CAUSALIDAD_ESAVI,CLASIFICACION_CAUSA_ESAVI
"DNVE ESAVI TRK - Clasificación final del caso + Clasificación final del caso A o B",Option set (texto),"obtenerClasificacion(): mapea las 8 combinaciones categoría/subcategoría del formulario a la etiqueta WHO-AEFI (A1..A4, B1, B2, C, D); solo se calcula si 'Caso analizado por comité ESAVI?' es afirmativo",TR_CAUSALIDAD_ESAVI,CLASIFICACION_DE_CAUSALIDAD_WHO_AEFI
"DNVE ESAVI TRK - Fecha cierre del evento",Fecha,formatoFecha(),TR_CAUSALIDAD_ESAVI,FECHA_CAUSALIDAD_ESAVI
"DNVE ESAVI TRK - ¿Estaba participando o participa la persona vacunada en un ensayo clínico de vacunas contra la COVID-19?",Booleano (texto '1'/'0'/null),"Directo; DHIS2 ya entrega true=1/false=0 como texto; si no está marcada ninguna opción entrega null",TR_ANTECEDENTES_MEDICO,ENSAYO_CLINICO_COVID19
"DNVE ESAVI TRK - Especificar la comorbilidad 1",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion() → código; la fila de TR_ANTECEDENTES_MEDICO solo se crea si la descripción no está vacía",TR_ANTECEDENTES_MEDICO,COMORBILIDAD_PRINCIPAL_CIE10
"DNVE ESAVI TRK - Especificar la comorbilidad 1",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → descripción,TR_ANTECEDENTES_MEDICO,COMORBILIDAD_PRINCIPAL
"DNVE ESAVI TRK - Especificar la comorbilidad 2",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → código,TR_ANTECEDENTES_MEDICO,COMORBILIDAD_DOS_CIE10
"DNVE ESAVI TRK - Especificar la comorbilidad 2",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → descripción,TR_ANTECEDENTES_MEDICO,COMORBILIDAD_DOS
"DNVE ESAVI TRK - Especificar la comorbilidad 3",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → código,TR_ANTECEDENTES_MEDICO,COMORBILIDAD_TRES_CIE10
"DNVE ESAVI TRK - Especificar la comorbilidad 3",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → descripción,TR_ANTECEDENTES_MEDICO,COMORBILIDAD_TRES
"DNVE ESAVI TRK - ¿Tiene antecedentes de diagnóstico de infección por SARS-CoV-2 antes de la vacunación?",Option set (SI/NO/SIN DATO),"Directo; no se trata como booleano porque el origen tiene 3 valores posibles",TR_ANTECEDENTES_MEDICO,ANTECEDENTE_DIAGNOSTICO_COVID19
"DNVE ESAVI TRK - Evento adverso anterior",Option set (Si/No/No sabe),"obtenerValorNumerico(): 'si'→1, 'no'→0, desconocido→2",TR_ANTECEDENTES_EVENTO_ADVERSO,ANTECEDENTES_ADVSIMILAR
"DNVE ESAVI TRK - Alergia Medicamentos",Booleano (checkbox),"esValorAfirmativo(): valor==='1' → true; DHIS2 entrega '1' si el check está marcado, null si no",TR_ANTECEDENTES_EVENTO_ADVERSO,ALERGIA_MEDICAMENTOS
"DNVE ESAVI TRK - Alergia Alimentos",Booleano (checkbox),esValorAfirmativo(),TR_ANTECEDENTES_EVENTO_ADVERSO,ALERGIA_ALIMENTOS
"DNVE ESAVI TRK - Alergia Insectos",Booleano (checkbox),esValorAfirmativo(),TR_ANTECEDENTES_EVENTO_ADVERSO,ALERGIA_INSECTOS
"DNVE ESAVI TRK - Alergia Polvo",Booleano (checkbox),esValorAfirmativo(),TR_ANTECEDENTES_EVENTO_ADVERSO,ALERGIA_POLVO
"DNVE ESAVI TRK - Otro Alergias",Texto,Directo,TR_ANTECEDENTES_EVENTO_ADVERSO,OTRAS_ALERGIAS
"DNVE ESAVI TRK - Antecedente patológico personal 1",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion() → código; la fila de TR_ANTECEDENTES_ENFERMEDADES_PREVIAS solo se crea si la descripción no está vacía",TR_ANTECEDENTES_ENFERMEDADES_PREVIAS,CODIGO_ESAVI_CIE10
"DNVE ESAVI TRK - Antecedente patológico personal 1",Texto (código CIE-10 + descripción),separarCodigoYDescripcion() → descripción,TR_ANTECEDENTES_ENFERMEDADES_PREVIAS,DESCRIPCION_ENF_PREVIAS
"(derivado)",-,"Búsqueda por similitud de la descripción anterior contra MED_LLT (esquema MEDDRA) → id resuelto por MeddraLLTService",TR_ANTECEDENTES_ENFERMEDADES_PREVIAS,CTLLTMEDDRA_ID
"DNVE ESAVI TRK - Semanas gestación al recibir la vacuna",Numérico,"'1' si el campo tiene valor, sino '0'",TR_PACIENTE_EMBARAZADA,EMBARAZADA_MOMENTO_VACUNA
"DNVE ESAVI TRK - Embarazada",Option set (texto),"Directo; el bloque de embarazo (TR_PACIENTE_EMBARAZADA y TR_ANTECEDENTES_EMBARAZO) solo se crea si este valor es verdadero",TR_PACIENTE_EMBARAZADA,EMBARAZADA_MOMENTO_ESAVI
"DNVE ESAVI TRK - Semanas gestación al recibir la vacuna",Numérico,"Number(); si no es un número válido se guarda null (evita error de tipo en el insert)",TR_ANTECEDENTES_EMBARAZO,EDAD_GESTACIONAL
"(derivado)",Fecha,"Calculada: FECHA_ATENCION − (edad gestacional × 7 días), vía ajustarFecha()",TR_ANTECEDENTES_EMBARAZO,FECHA_ULTIMA_MENSTRUACION
"(derivado)",Fecha,"Calculada: FECHA_ULTIMA_MENSTRUACION + (43 semanas × 7 días); 43 es el valor fijo acordado con el personal funcional",TR_ANTECEDENTES_EMBARAZO,FECHA_PARTO
"DNVE ESAVI TRK - Fecha en que se termina la investigación",Fecha,formatoFecha(),TR_INVESTIGACION,FECHA_INVESTIGACION
"DNVE ESAVI TRK - El vacunatorio cumple con los estándares de calidad",Booleano (texto '1'/'0'),"transformarBooleanoSiNoDhis2(): conserva el valor tal cual (toString); null si no viene informado",TR_INVESTIGACION,VACUNATORIO_CALIDAD
"DNVE ESAVI TRK - El personal de salud está capacitado en inmunizaciones",Booleano (texto '1'/'0'),transformarBooleanoSiNoDhis2(),TR_INVESTIGACION,PERSONAL_CAPACITADO
"DNVE ESAVI TRK - Evidenció algún problema en el biológico",Booleano (texto '1'/'0'),transformarBooleanoSiNoDhis2(),TR_INVESTIGACION,PROBLEMA_BIOLOGICO
"DNVE ESAVI TRK - Se realizó búsqueda de casos con similar sintomatología y que recibió la vacuna",Booleano (texto '1'/'0'),transformarBooleanoSiNoDhis2(),TR_INVESTIGACION,BUSQUEDA_CASOS_SINTOMATOLOGIA_CON_VACUNA
"DNVE ESAVI TRK - Se realizó búsqueda de casos con similar sintomatología sin antecedente de la vacuna",Booleano (texto '1'/'0'),transformarBooleanoSiNoDhis2(),TR_INVESTIGACION,BUSQUEDA_CASOS_SINTOMATOLOGIA_SIN_VACUNA
"DNVE ESAVI TRK - Muestra de Laboratorio",Booleano (texto '1'/'0'),transformarBooleanoSiNoDhis2(),TR_INVESTIGACION,MUESTRA_LABORATORIO
